country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Afghanistan,411.0,419.0,490.0,545.0,527.0,571.0,582.0,576.0,567.0,565.0,563.0,554.0,559.0,undeveloped
Angola,2960.0,3180.0,3090.0,3110.0,3090.0,3240.0,3270.0,3300.0,3220.0,3020.0,2910.0,2780.0,2670.0,undeveloped
Albania,3040.0,3300.0,3430.0,3580.0,3680.0,3740.0,3780.0,3860.0,3950.0,4090.0,4250.0,4430.0,4540.0,developed
Andorra,42700.0,41500.0,40400.0,40900.0,41500.0,39200.0,37600.0,38400.0,38900.0,39900.0,39300.0,39300.0,39400.0,developed
UAE,50200.0,43500.0,36100.0,34500.0,36300.0,36600.0,38000.0,39200.0,41500.0,43500.0,43400.0,43600.0,43800.0,developed
Argentina,12900.0,13200.0,12300.0,13600.0,14200.0,13900.0,14100.0,13600.0,13800.0,13400.0,13600.0,13100.0,12700.0,developed
Armenia,3020.0,3250.0,2810.0,2890.0,3040.0,3280.0,3400.0,3540.0,3670.0,3690.0,3990.0,4220.0,4560.0,undeveloped
Antigua and Barbuda,20700.0,20400.0,17700.0,16100.000000000002,15600.0,15900.0,15700.0,15900.0,16000.0,16500.0,16800.0,17900.0,18400.0,undeveloped
Australia,52500.0,53300.0,53200.0,53600.0,54100.0,55300.0,55700.0,56300.0,56800.0,57400.0,57800.0,58600.0,59000.0,developed
Austria,43900.0,44400.0,42700.0,43300.0,44500.0,44500.0,44300.0,44200.0,44200.0,44600.0,45300.0,46200.0,46600.0,developed
Azerbaijan,4330.0,4690.0,5020.0,5220.0,5150.0,5190.0,5430.0,5510.0,5500.0,5270.0,5230.0,5260.0,5350.0,undeveloped
Burundi,299.0,301.0,297.0,298.0,299.0,301.0,305.0,308.0,289.0,283.0,278.0,274.0,270.0,undeveloped
Belgium,40300.0,40200.0,39000.0,39800.0,39900.0,40000.0,40000.0,40400.0,41000.0,41300.0,41800.0,42400.0,43100.0,developed
Benin,960.0,977.0,971.0,963.0,963.0,980.0,1020.0,1050.0,1040.0,1050.0,1070.0,1110.0,1150.0,undeveloped
Burkina Faso,521.0,536.0,536.0,564.0,584.0,603.0,619.0,627.0,632.0,650.0,671.0,696.0,717.0,undeveloped
Bangladesh,848.0,891.0,927.0,968.0,1020.0,1070.0,1120.0,1170.0,1240.0,1310.0,1380.0,1460.0,1560.0,undeveloped
Bulgaria,6050.0,6470.0,6290.0,6430.0,6610.0,6700.0,6700.0,6800.0,7080.0,7340.0,7600.0,7860.0,8240.0,developed
Bahrain,22000.0,21900.0,21100.0,21400.0,21900.0,22500.0,23000.0,23100.0,22900.0,22800.0,23000.0,23000.0,23400.0,developed
Bahamas,33200.0,31900.0,30200.0,30200.0,30000.0,30600.0,29400.0,29700.0,29700.0,29200.0,29800.0,30300.0,29700.0,developed
Bosnia and Herzegovina,3670.0,3930.0,3880.0,3980.0,4090.0,4130.0,4300.0,4400.0,4650.0,4870.0,5080.0,5340.0,5560.0,undeveloped
Belarus,4690.0,5180.0,5200.0,5620.0,5940.0,6050.0,6110.0,6210.0,5970.0,5810.0,5960.0,6170.0,6270.0,developed
Belize,6420.0,6150.0,5950.0,5880.0,5730.0,5810.0,5930.0,6030.0,6100.0,5970.0,5750.0,5700.0,5830.0,undeveloped
Bolivia,2280.0,2380.0,2410.0,2470.0,2560.0,2640.0,2780.0,2880.0,2980.0,3050.0,3140.0,3220.0,3240.0,undeveloped
Brazil,7910.0,8230.0,8140.0,8670.0,8940.0,9030.0,9220.0,9180.0,8780.0,8430.0,8470.0,8550.0,8590.0,undeveloped
Barbados,18700.0,18700.0,17700.0,17300.0,17100.0,17000.0,16700.0,16700.0,17000.0,17400.0,17500.0,17300.0,17400.0,undeveloped
Brunei,34700.0,33500.0,32400.0,32800.0,33600.0,33500.0,32299.999999999996,31200.0,30700.0,29600.0,29700.0,29400.0,30300.0,developed
Botswana,5910.0,5980.0,5030.0,5430.0,5680.0,5570.0,6070.0,6290.0,5870.0,6170.0,6290.0,6420.0,6490.0,undeveloped
Central African Republic,460.0,460.0,488.0,501.0,514.0,535.0,338.0,339.0,352.0,362.0,372.0,378.0,381.0,undeveloped
Canada,42100.0,42100.0,40400.0,41200.0,42000.0,42300.0,42900.0,43600.0,43600.0,43600.0,44300.0,44900.0,45100.0,developed
Switzerland,81300.0,82500.0,79600.0,81300.0,81900.0,82000.0,82500.0,83400.0,83800.0,84600.0,85000.0,86800.0,87100.0,developed
Chile,11200.0,11500.0,11200.0,11800.0,12400.0,13000.0,13300.0,13400.0,13600.0,13600.0,13600.0,13900.0,13700.0,developed
China,4320.0,4710.0,5130.0,5650.0,6150.0,6590.0,7060.0,7530.0,8020.0,8520.0,9050.0,9620.0,10200.0,undeveloped
Cote d'Ivoire,1510.0,1550.0,1570.0,1640.0,1520.0,1600.0,1740.0,1860.0,1940.0,2030.0,2120.0,2170.0,2260.0,undeveloped
Cameroon,1280.0,1280.0,1280.0,1280.0,1280.0,1310.0,1330.0,1370.0,1400.0,1420.0,1430.0,1450.0,1450.0,undeveloped
"Congo, Dem. Rep.",370.0,380.0,379.0,393.0,406.0,421.0,441.0,466.0,482.0,477.0,478.0,489.0,495.0,undeveloped
"Congo, Rep.",2020.0,2070.0,2220.0,2350.0,2320.0,2480.0,2410.0,2500.0,2460.0,2190.0,2020.0,1920.0,1900.0,undeveloped
Colombia,4940.0,5040.0,5040.0,5210.0,5510.0,5670.0,5900.0,6110.0,6230.0,6290.0,6280.0,6320.0,6400.0,undeveloped
Comoros,1210.0,1240.0,1250.0,1270.0,1300.0,1310.0,1340.0,1340.0,1320.0,1340.0,1360.0,1380.0,1380.0,undeveloped
Cape Verde,3010.0,3180.0,3100.0,3120.0,3210.0,3200.0,3190.0,3170.0,3170.0,3270.0,3380.0,3460.0,3670.0,undeveloped
Costa Rica,9650.0,9970.0,9750.0,10100.0,10500.0,10800.0,11000.0,11200.0,11500.0,11900.0,12300.0,12500.0,12700.0,developed
