country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Afghanistan,1830.0,1870.0,2230.0,2480.0,2390.0,2570.0,2580.0,2520.0,2430.0,2380.0,2350.0,2300.0,2280.0,undeveloped
Angola,8660.0,9270.0,9020.0,9680.0,9440.0,9890.0,10000.0,10100.0,9850.0,9260.0,8920.0,8430.0,8070.0,undeveloped
Albania,9670.0,10200.0,10700.0,11200.0,10200.0,10800.0,12000.0,12500.0,12000.0,11900.0,12000.0,11800.0,11700.0,developed
UAE,71800.0,62600.0,51700.0,47700.0,48900.0,50200.0,52700.0,55000.0,57500.0,59100.0,60400.0,60300.0,60600.0,developed
Argentina,24000.0,24800.0,23100.0,25100.0,26000.0,25500.0,25900.0,25200.0,25500.0,24700.0,25000.0,24000.0,23300.0,developed
Armenia,8930.0,9970.0,8910.0,8770.0,8900.0,9340.0,9450.0,10000.0,10600.0,10700.0,11600.0,12900.0,13900.0,undeveloped
Australia,101000.0,102000.0,103000.0,103000.0,103000.0,106000.0,108000.0,110000.0,110000.0,112000.0,113000.0,114000.0,114000.0,developed
Austria,99300.0,98800.0,95100.0,95700.0,97400.0,97200.0,96800.0,97400.0,97800.0,98800.0,99900.0,100000.0,101000.0,developed
Azerbaijan,10200.0,11200.0,12100.0,12500.0,12100.0,12200.0,12600.0,12700.0,12700.0,12000.0,11900.0,11900.0,12100.0,undeveloped
Burundi,535.0,541.0,543.0,552.0,557.0,565.0,576.0,584.0,542.0,520.0,505.0,496.0,488.0,undeveloped
Belgium,108000.0,107000.0,105000.0,107000.0,108000.0,109000.0,109000.0,110000.0,112000.0,113000.0,113000.0,112000.0,112000.0,developed
Benin,2600.0,2650.0,2640.0,2630.0,2670.0,2720.0,2830.0,2910.0,2870.0,2880.0,2950.0,3050.0,3150.0,undeveloped
Burkina Faso,1600.0,1660.0,1680.0,1800.0,1890.0,1980.0,2070.0,2130.0,2130.0,2180.0,2230.0,2290.0,2340.0,undeveloped
Bangladesh,1880.0,1970.0,2050.0,2090.0,2190.0,2300.0,2400.0,2500.0,2620.0,2750.0,2790.0,2950.0,3120.0,undeveloped
Bulgaria,14900.0,15300.0,15300.0,16400.0,17400.0,17600.0,17600.0,17700.0,18100.0,18900.0,18700.0,19200.0,19400.0,developed
Bahrain,41100.0,39600.0,37300.0,36400.0,36500.0,37200.0,38900.0,40000.0,40100.0,39500.0,38600.0,36900.0,35500.0,developed
Bahamas,62700.0,60200.0,60500.0,60300.0,59700.0,60000.0,58500.0,56200.0,54400.0,54100.0,51500.0,51700.0,51900.0,developed
Bosnia and Herzegovina,16800.0,16100.000000000002,15800.0,16500.0,17000.0,17000.0,17600.0,17700.0,18600.0,18900.0,18300.0,18600.0,18300.0,undeveloped
Belarus,10400.0,11300.0,11200.0,12100.0,12700.0,12900.0,13000.0,13200.0,12700.0,12400.0,12700.0,12900.0,13200.0,developed
Belize,11900.0,11800.0,11500.0,11400.0,11300.0,11100.0,10900.0,10900.0,10700.0,10200.0,10100.0,9950.0,9680.0,undeveloped
Bolivia,4000.0,4130.0,4190.0,4250.0,4370.0,4680.0,4880.0,4870.0,5370.0,5460.0,5470.0,5350.0,5340.0,undeveloped
Brazil,23200.0,23700.0,23600.0,25100.0,26000.0,25800.0,26200.0,26000.0,25100.0,24900.0,25200.0,25100.0,24800.0,undeveloped
