country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Afghanistan,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,undeveloped
Angola,0.43799999999999994,0.42700000000000005,0.435,0.44299999999999995,0.451,0.46,0.46799999999999997,0.47700000000000004,0.485,0.494,0.503,0.513,0.513,undeveloped
Albania,0.302,0.3,0.297,0.295,0.292,0.29,0.316,0.34600000000000003,0.32899999999999996,0.337,0.332,0.332,0.332,developed
Andorra,0.354,0.355,0.355,0.35700000000000004,0.355,0.355,0.354,0.354,0.353,0.35200000000000004,0.35200000000000004,0.35100000000000003,0.35,developed
UAE,0.321,0.32299999999999995,0.326,0.327,0.326,0.326,0.325,0.311,0.297,0.284,0.272,0.26,0.26,developed
Argentina,0.462,0.449,0.436,0.436,0.426,0.413,0.41,0.41600000000000004,0.418,0.42,0.41100000000000003,0.413,0.429,developed
Armenia,0.312,0.292,0.28,0.3,0.294,0.29600000000000004,0.306,0.315,0.324,0.325,0.336,0.344,0.299,undeveloped
Antigua and Barbuda,0.369,0.369,0.37200000000000005,0.374,0.374,0.374,0.374,0.374,0.373,0.373,0.37200000000000005,0.371,0.37,undeveloped
Australia,0.348,0.354,0.35,0.34700000000000003,0.34600000000000003,0.345,0.345,0.344,0.344,0.344,0.344,0.344,0.344,developed
Austria,0.306,0.304,0.315,0.303,0.308,0.305,0.308,0.305,0.305,0.308,0.297,0.309,0.309,developed
Azerbaijan,0.265,0.267,0.268,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,undeveloped
Burundi,0.341,0.348,0.355,0.363,0.37,0.37799999999999995,0.386,0.389,0.39,0.39,0.39,0.39,0.39,undeveloped
Belgium,0.292,0.284,0.28600000000000003,0.284,0.281,0.275,0.27699999999999997,0.281,0.27699999999999997,0.276,0.27399999999999997,0.272,0.272,developed
Benin,0.409,0.415,0.42200000000000004,0.428,0.434,0.445,0.455,0.466,0.478,0.48100000000000004,0.48100000000000004,0.48100000000000004,0.48100000000000004,undeveloped
Burkina Faso,0.409,0.40299999999999997,0.39799999999999996,0.38799999999999996,0.379,0.37,0.361,0.353,0.35100000000000003,0.35100000000000003,0.35100000000000003,0.35100000000000003,0.35100000000000003,undeveloped
Bangladesh,0.32799999999999996,0.325,0.32299999999999995,0.321,0.322,0.322,0.32299999999999995,0.32299999999999995,0.324,0.324,0.324,0.324,0.324,undeveloped
Bulgaria,0.361,0.336,0.33799999999999997,0.35600000000000004,0.34299999999999997,0.36,0.366,0.374,0.386,0.406,0.40399999999999997,0.413,0.413,developed
Bahrain,0.355,0.355,0.35600000000000004,0.35600000000000004,0.35600000000000004,0.35600000000000004,0.355,0.355,0.355,0.355,0.355,0.355,0.35600000000000004,developed
Bahamas,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,developed
Bosnia and Herzegovina,0.331,0.33,0.33,0.33,0.33,0.33,0.33,0.32899999999999996,0.32799999999999996,0.32799999999999996,0.327,0.326,0.325,undeveloped
Belarus,0.29600000000000004,0.278,0.27699999999999997,0.28600000000000003,0.271,0.265,0.266,0.272,0.256,0.253,0.254,0.252,0.253,developed
Belize,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,undeveloped
Bolivia,0.545,0.508,0.49200000000000005,0.47600000000000003,0.461,0.466,0.47600000000000003,0.478,0.467,0.45299999999999996,0.446,0.426,0.41600000000000004,undeveloped
Brazil,0.5489999999999999,0.54,0.537,0.5329999999999999,0.53,0.535,0.528,0.521,0.519,0.5329999999999999,0.5329999999999999,0.539,0.534,undeveloped
Barbados,0.44299999999999995,0.442,0.441,0.441,0.44,0.44,0.44,0.439,0.439,0.439,0.439,0.439,0.439,undeveloped
Brunei,0.34700000000000003,0.348,0.348,0.348,0.34700000000000003,0.348,0.348,0.349,0.349,0.35,0.35,0.35,0.35,developed
Botswana,0.616,0.61,0.605,0.5920000000000001,0.58,0.568,0.556,0.545,0.5329999999999999,0.5329999999999999,0.5329999999999999,0.5329999999999999,0.5329999999999999,undeveloped
Central African Republic,0.565,0.562,0.5670000000000001,0.5670000000000001,0.5670000000000001,0.5670000000000001,0.5670000000000001,0.5670000000000001,0.5670000000000001,0.5670000000000001,0.5670000000000001,0.5670000000000001,0.5670000000000001,undeveloped
Canada,0.33799999999999997,0.33799999999999997,0.337,0.336,0.336,0.335,0.33799999999999997,0.332,0.33799999999999997,0.327,0.33299999999999996,0.33299999999999996,0.33299999999999996,developed
Switzerland,0.34299999999999997,0.33799999999999997,0.32899999999999996,0.325,0.317,0.316,0.325,0.325,0.32299999999999995,0.33,0.327,0.331,0.331,developed
Chile,0.47200000000000003,0.47100000000000003,0.47,0.465,0.46,0.45899999999999996,0.45799999999999996,0.451,0.444,0.444,0.444,0.444,0.444,developed
China,0.423,0.43,0.434,0.43799999999999994,0.424,0.42200000000000004,0.397,0.392,0.386,0.385,0.385,0.385,0.385,undeveloped
Cote d'Ivoire,0.429,0.43200000000000005,0.429,0.42700000000000005,0.424,0.42200000000000004,0.42,0.41700000000000004,0.415,0.415,0.415,0.415,0.415,undeveloped
Cameroon,0.428,0.434,0.439,0.444,0.45,0.455,0.461,0.466,0.467,0.467,0.467,0.467,0.467,undeveloped
"Congo, Dem. Rep.",0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,undeveloped
"Congo, Rep.",0.479,0.48100000000000004,0.484,0.48700000000000004,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,undeveloped
Colombia,0.5489999999999999,0.5529999999999999,0.5429999999999999,0.546,0.535,0.526,0.526,0.525,0.51,0.506,0.49700000000000005,0.504,0.513,undeveloped
Comoros,0.525,0.514,0.504,0.493,0.483,0.473,0.46299999999999997,0.45299999999999996,0.451,0.451,0.451,0.451,0.451,undeveloped
Cape Verde,0.47200000000000003,0.466,0.45899999999999996,0.45299999999999996,0.447,0.441,0.435,0.43,0.424,0.424,0.424,0.424,0.424,undeveloped
Costa Rica,0.493,0.486,0.506,0.48200000000000004,0.48700000000000004,0.486,0.493,0.486,0.484,0.48700000000000004,0.484,0.48,0.48200000000000004,developed
Cuba,0.43200000000000005,0.43200000000000005,0.433,0.434,0.434,0.434,0.434,0.434,0.434,0.434,0.434,0.434,0.434,undeveloped
Cyprus,0.311,0.317,0.321,0.315,0.326,0.34299999999999997,0.37,0.35600000000000004,0.34,0.32899999999999996,0.314,0.327,0.327,developed
Czech Republic,0.26,0.263,0.262,0.266,0.264,0.261,0.265,0.259,0.259,0.254,0.249,0.25,0.25,developed
Germany,0.313,0.311,0.305,0.303,0.305,0.309,0.311,0.309,0.317,0.319,0.319,0.319,0.319,developed
Djibouti,0.425,0.43,0.435,0.44,0.446,0.451,0.441,0.435,0.428,0.42200000000000004,0.41600000000000004,0.41600000000000004,0.41600000000000004,undeveloped
Dominica,0.38299999999999995,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.38299999999999995,0.38299999999999995,0.382,undeveloped
Denmark,0.262,0.253,0.267,0.272,0.273,0.278,0.285,0.284,0.282,0.282,0.28800000000000003,0.282,0.282,developed
Dominican Republic,0.489,0.48100000000000004,0.489,0.473,0.47700000000000004,0.461,0.47700000000000004,0.44299999999999995,0.452,0.457,0.42200000000000004,0.43700000000000006,0.419,undeveloped
Algeria,0.294,0.289,0.285,0.281,0.276,0.27399999999999997,0.273,0.273,0.273,0.273,0.273,0.273,0.273,undeveloped
Ecuador,0.534,0.498,0.485,0.488,0.45899999999999996,0.461,0.469,0.45,0.46,0.45,0.447,0.45399999999999996,0.457,undeveloped
Egypt,0.313,0.311,0.306,0.302,0.292,0.28300000000000003,0.294,0.306,0.318,0.317,0.315,0.315,0.315,undeveloped
Eritrea,0.413,0.41600000000000004,0.415,0.415,0.414,0.425,0.426,0.425,0.424,0.424,0.424,0.42200000000000004,0.42200000000000004,undeveloped
Spain,0.341,0.342,0.349,0.353,0.35700000000000004,0.354,0.36200000000000004,0.36,0.36200000000000004,0.358,0.34600000000000003,0.34700000000000003,0.34700000000000003,developed
Estonia,0.312,0.319,0.314,0.32,0.325,0.32899999999999996,0.35100000000000003,0.34600000000000003,0.327,0.312,0.304,0.303,0.303,developed
Ethiopia,0.314,0.32,0.326,0.332,0.335,0.33899999999999997,0.34299999999999997,0.34600000000000003,0.35,0.354,0.35600000000000004,0.35600000000000004,0.35600000000000004,undeveloped
Finland,0.28300000000000003,0.278,0.275,0.27699999999999997,0.276,0.271,0.272,0.268,0.271,0.271,0.27399999999999997,0.273,0.273,developed
Fiji,0.4,0.40399999999999997,0.396,0.389,0.381,0.374,0.36700000000000005,0.364,0.363,0.363,0.363,0.363,0.363,undeveloped
France,0.324,0.33,0.327,0.337,0.33299999999999996,0.331,0.325,0.32299999999999995,0.327,0.319,0.316,0.324,0.324,developed
"Micronesia, Fed. Sts.",0.418,0.415,0.41200000000000003,0.409,0.406,0.40299999999999997,0.401,0.40700000000000003,0.406,0.406,0.406,0.406,0.406,undeveloped
Gabon,0.415,0.41100000000000003,0.408,0.40399999999999997,0.4,0.397,0.39399999999999996,0.39,0.387,0.384,0.38,0.379,0.379,undeveloped
UK,0.35700000000000004,0.341,0.34299999999999997,0.344,0.332,0.324,0.332,0.34,0.332,0.348,0.35100000000000003,0.36,0.36,developed
Georgia,0.381,0.385,0.382,0.395,0.396,0.39,0.386,0.375,0.365,0.366,0.379,0.364,0.36,developed
Ghana,0.42700000000000005,0.426,0.425,0.425,0.424,0.424,0.426,0.429,0.43200000000000005,0.435,0.435,0.435,0.435,undeveloped
Guinea,0.39399999999999996,0.382,0.37,0.359,0.348,0.337,0.33399999999999996,0.33399999999999996,0.33399999999999996,0.33399999999999996,0.33399999999999996,0.33399999999999996,0.33399999999999996,undeveloped
Gambia,0.451,0.446,0.441,0.436,0.419,0.40299999999999997,0.38799999999999996,0.373,0.359,0.353,0.35,0.35,0.35,undeveloped
Guinea-Bissau,0.444,0.46399999999999997,0.485,0.507,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,undeveloped
Equatorial Guinea,0.36,0.358,0.358,0.361,0.361,0.36,0.36200000000000004,0.36200000000000004,0.365,0.368,0.37,0.371,0.373,undeveloped
Greece,0.34,0.336,0.336,0.341,0.349,0.363,0.361,0.358,0.36,0.35,0.344,0.32899999999999996,0.32899999999999996,developed
Grenada,0.37799999999999995,0.37799999999999995,0.38,0.38,0.38,0.38,0.38,0.379,0.377,0.377,0.376,0.375,0.375,undeveloped
Guatemala,0.537,0.529,0.521,0.513,0.505,0.498,0.49,0.483,0.48100000000000004,0.48100000000000004,0.48100000000000004,0.48100000000000004,0.48100000000000004,undeveloped
Guyana,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,undeveloped
"Hong Kong, China",0.535,0.536,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,developed
Honduras,0.5579999999999999,0.555,0.513,0.531,0.562,0.561,0.526,0.503,0.498,0.498,0.495,0.489,0.48200000000000004,undeveloped
Croatia,0.326,0.337,0.326,0.324,0.32299999999999995,0.325,0.32,0.321,0.311,0.309,0.304,0.297,0.297,developed
Haiti,0.602,0.603,0.604,0.605,0.607,0.608,0.605,0.605,0.605,0.605,0.605,0.605,0.605,undeveloped
Hungary,0.27899999999999997,0.275,0.27,0.294,0.292,0.308,0.315,0.309,0.304,0.303,0.306,0.29600000000000004,0.29600000000000004,developed
Indonesia,0.35700000000000004,0.35100000000000003,0.35100000000000003,0.364,0.397,0.397,0.4,0.39399999999999996,0.397,0.386,0.381,0.37799999999999995,0.382,undeveloped
India,0.35,0.35200000000000004,0.354,0.355,0.35700000000000004,0.35700000000000004,0.35700000000000004,0.35700000000000004,0.35700000000000004,0.35700000000000004,0.35700000000000004,0.35700000000000004,0.35700000000000004,undeveloped
Ireland,0.319,0.309,0.327,0.32299999999999995,0.32899999999999996,0.332,0.335,0.319,0.318,0.32799999999999996,0.314,0.314,0.314,developed
Iran,0.43799999999999994,0.429,0.42,0.408,0.396,0.385,0.374,0.38799999999999996,0.395,0.4,0.408,0.42,0.42,undeveloped
Iraq,0.28800000000000003,0.289,0.29100000000000004,0.292,0.294,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,undeveloped
Iceland,0.295,0.318,0.287,0.262,0.268,0.268,0.254,0.278,0.268,0.272,0.261,0.261,0.261,developed
Israel,0.41100000000000003,0.41600000000000004,0.42,0.425,0.419,0.414,0.405,0.39799999999999996,0.39399999999999996,0.39,0.386,0.385,0.385,developed
Italy,0.32899999999999996,0.33799999999999997,0.33799999999999997,0.34700000000000003,0.35100000000000003,0.35200000000000004,0.349,0.34700000000000003,0.354,0.353,0.359,0.359,0.359,developed
Jamaica,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,undeveloped
Jordan,0.332,0.326,0.331,0.337,0.34,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,undeveloped
